gps_time,alt,amb,ch4,ch4d,ch4cal,co,co2,co2d,co2cal,cod,cog,gasp,h2o,hdop,heading,lat,lon,pressure,rd1,rd2,sog,t,temp,wd_corr,wd_uncorr,ws_corr,ws_uncorr
2018-10-24 15:30:50.500000,76.0,20.8499012921,1.89804089716,1.90874189905,1.98353476971,2.26940497209,463.725431589,466.339789355,461.351528868,2.28219709692,149.6,140.676743474,5606.27100941,0.9,156.5,43.6448133333,-79.3521683333,1016.9,6.48672782795,7.24759469607,13.5,19.732398565,4.9,151.3,359.4,3.5,14.9
2018-10-24 15:30:51.500000,75.8,20.8460030667,1.89977127776,1.91045935477,1.9853446353,2.4731954882,462.171691653,464.771825374,459.773391306,2.48710719936,151.3,140.672127749,5594.46141587,0.9,157.1,43.64478,-79.3521483333,1016.9,6.48355281708,7.25922018507,13.5,19.730797144,4.9,146.9,356.8,3.1,12.7
2018-10-24 15:30:52.500000,75.8,20.8426321818,1.89967721609,1.91034690359,1.98522613354,2.1994718973,462.185973151,464.78189816,459.783529449,2.21182514287,152.1,140.67200001,5585.2065031,0.9,161.7,43.64475,-79.3521266667,1017.0,6.47990683957,7.24800937277,13.3,19.7321690666,4.9,148.5,0.6,2.7,11.8
2018-10-24 15:30:53.500000,75.9,20.8428308675,1.89874542789,1.90919634762,1.98401367046,2.41447752393,462.037745217,464.580937851,459.581265228,2.42775372237,149.5,140.645154356,5474.06143221,0.9,159.2,43.64472,-79.3521016667,1016.9,6.48219882153,7.24198601284,13.1,19.7297048249,4.8,113.5,350.4,1.5,9.1
2018-10-24 15:30:54.500000,75.7,20.8382384263,1.89872361709,1.90940941103,1.98423819801,2.25649343652,460.433737759,463.024969474,458.015201104,2.26917505224,148.2,140.673945004,5596.48375601,0.9,159.2,43.6446933333,-79.3520766667,1016.9,6.48157804615,7.2463421944,12.9,19.7312206466,4.9,75.8,333.8,1.7,9.0
2018-10-24 15:30:55.500000,75.4,20.8328446756,1.89798621114,1.90833973317,1.98311096477,2.16121822465,457.739176613,460.23643059,455.208569059,2.17300696822,148.8,140.658035373,5425.58402597,0.9,152.5,43.6446683333,-79.3520533333,1016.9,6.48620125339,7.26268578525,12.7,19.7305626499,4.9,92.8,355.5,1.7,8.8
2018-10-24 15:30:56.500000,75.3,20.8305176487,1.89988468761,1.91029665551,1.98517318181,2.18079583423,457.21921185,459.72487935,454.693698669,2.1927472878,148.7,140.683819704,5450.25247865,0.9,141.8,43.64464,-79.3520333333,1016.9,6.48587357405,7.25947123287,12.9,19.7262680253,4.9,152.7,349.4,1.5,10.4
2018-10-24 15:30:57.500000,75.2,20.8328186526,1.90140661138,1.91180482556,1.98676250086,1.87681197785,457.006229775,459.505405377,454.47280066,1.88708059338,147.5,140.67404085,5438.8294832,0.9,145.8,43.6446133333,-79.3520066667,1017.0,6.48299633183,7.25106935723,12.9,19.7265545816,4.9,88.4,321.2,3.4,11.9
2018-10-24 15:30:58.500000,75.1,20.8276331654,1.90144554249,1.91197356116,1.98694031549,2.15223683857,464.856404515,467.430476408,462.449292738,2.16416366299,145.3,140.668796919,5506.39178642,0.9,141.5,43.6445866667,-79.35198,1016.8,6.48413626981,7.26613613506,13.1,19.7271312512,4.9,64.0,316.3,4.1,12.0
2018-10-24 15:30:59.500000,75.2,20.8272624621,1.90025377851,1.91086002777,1.98576686702,2.25567283216,476.502140785,479.161639259,474.256572088,2.26826233296,135.4,140.654650378,5550.25928834,0.9,123.4,43.6445616667,-79.3519466667,1016.8,6.48871539805,7.26012878463,13.7,19.7257175364,4.9,56.8,330.8,4.5,11.0
2018-10-24 15:31:00.500000,75.4,20.8283045123,1.89522208603,1.90564206159,1.98026814156,2.68575015471,480.439141316,483.080292091,478.200650714,2.70050409249,135.7,140.697928234,5467.47481477,0.9,120.4,43.6445383333,-79.3519116667,1016.8,6.49241284985,7.23665531685,13.7,19.7256056011,4.9,70.5,323.1,3.4,11.9
2018-10-24 15:31:01.500000,75.6,20.8239350608,1.89966034043,1.91023795431,1.98511132211,2.70729077506,481.187305877,483.866583474,478.992043872,2.72236258117,139.6,140.655042555,5537.28538271,0.9,141.2,43.6445166667,-79.3518816667,1016.8,6.48993868359,7.24217951669,13.7,19.7251587384,4.9,54.2,318.0,3.8,9.7
2018-10-24 15:31:02.500000,75.1,20.8190183789,1.90312149067,1.91395669837,1.98903015791,1.75606455614,476.268504496,478.979993803,474.073748043,1.76603756133,143.1,140.665827956,5661.18520855,0.9,147.9,43.64449,-79.3518533333,1016.8,6.48607625788,7.26757643482,14.0,19.7242946144,4.9,62.3,325.8,3.4,11.2
2018-10-24 15:31:03.500000,74.7,20.817835552,1.90485835622,1.9158158019,1.99098929287,2.74330100627,470.002423258,472.705967472,467.759013307,2.75909247047,145.1,140.665455406,5719.49457621,0.9,150.6,43.6444583333,-79.3518266667,1016.9,6.48726003616,7.26818545509,14.2,19.7224821929,4.9,26.0,321.1,1.6,6.2
2018-10-24 15:31:04.500000,74.3,20.8178582355,1.90481843419,1.91541912139,1.99057126846,1.97682659348,464.974998226,467.563021448,462.582697783,1.98788975129,146.1,140.671784142,5534.64034361,0.9,150.5,43.6444283333,-79.3517983333,1016.9,6.48855524317,7.27210117393,14.4,19.7215505869,4.9,28.3,321.1,2.8,7.3
2018-10-24 15:31:05.500000,73.9,20.8207369839,1.90241823842,1.91307454696,1.98810054123,3.0762564196,459.090045576,461.661627299,456.643013016,3.09352123941,145.3,140.649915636,5570.44591217,0.9,150.6,43.6443966667,-79.3517716667,1016.8,6.49494475105,7.27138271236,14.4,19.7207533704,5.0,11.8,331.8,2.0,6.3
2018-10-24 15:31:06.500000,73.5,20.8221894813,1.90331609944,1.91367769369,1.98873614103,2.04610712626,458.170426975,460.664834502,455.639752627,2.0573107138,143.8,140.659304249,5414.83549229,0.9,148.4,43.6443683333,-79.3517416667,1016.9,6.48250866153,7.25140524507,14.4,19.7194400469,5.0,353.6,324.1,2.0,6.0
2018-10-24 15:31:07.500000,73.4,20.8196685322,1.89946449732,1.90981540528,1.98466603729,2.02269164636,454.854950555,457.333452224,452.286755002,2.03371823655,144.3,140.673420543,5419.57978639,0.9,147.8,43.64434,-79.3517133333,1016.8,6.49484337816,7.26006440353,14.6,19.7183929515,5.0,59.4,319.7,3.5,12.1
2018-10-24 15:31:08.500000,73.3,20.8182188928,1.90183446359,1.9124441314,1.98743620536,2.94242268294,451.791686556,454.311951953,449.245650023,2.95886063784,144.6,140.664097578,5547.63535371,0.9,151.2,43.64431,-79.3516833333,1016.9,6.48987078222,7.25424511094,14.6,19.717139308,5.0,70.3,325.9,4.0,12.7
2018-10-24 15:31:09.500000,73.4,20.813473723,1.90221762248,1.91279830947,1.98780944043,2.78824386732,450.239331379,452.743781229,447.667304377,2.80375660501,144.3,140.652443698,5531.70880842,0.9,148.9,43.64428,-79.351655,1017.0,6.48606711507,7.26939941491,14.6,19.7160937453,5.0,90.0,346.5,2.0,10.6
2018-10-24 15:31:10.500000,73.8,20.8120219065,1.90404366014,1.91478258356,1.9899004809,2.15499028953,448.680398227,451.211008193,446.124586093,2.16713326823,145.8,140.665267573,5608.40570536,0.9,150.0,43.6442533333,-79.351625,1017.0,6.48544176878,7.27769778478,14.0,19.7143988696,5.0,80.2,353.9,0.9,8.1
2018-10-24 15:31:11.500000,73.8,20.8137351786,1.90566258035,1.91647738872,1.99168647721,2.98484897877,449.353815391,451.903957848,446.822031884,3.00179151294,149.0,140.641824695,5643.08342109,0.9,153.4,43.6442233333,-79.3516016667,1017.0,6.48341101749,7.26493745314,14.0,19.7137342961,5.0,21.1,348.5,1.0,6.9
2018-10-24 15:31:12.500000,74.0,20.8162385244,1.90319385716,1.91388353348,1.9889530563,2.16039581707,448.562707493,451.082086739,445.994828145,2.17254326987,150.2,140.667547369,5585.30599493,0.9,173.7,43.6441916667,-79.3515733333,1016.9,6.48307683939,7.26143849313,14.6,19.7120948959,5.0,36.7,338.4,0.9,8.5
2018-10-24 15:31:13.500000,74.2,20.8178958362,1.90106354358,1.91178103752,1.98673743288,2.47170398317,447.898134509,450.423207005,445.331673335,2.48564280632,149.2,140.653824614,5606.02885544,0.9,164.9,43.6441583333,-79.3515483333,1016.8,6.48600376534,7.25033242359,14.6,19.7110162764,5.0,84.4,329.2,2.9,12.0
2018-10-24 15:31:14.500000,74.2,20.8216821039,1.90308373253,1.91379787788,1.98886279189,2.19185843969,444.739869722,447.243637242,442.131473245,2.2041997675,149.1,140.648939794,5598.19631034,0.9,159.3,43.6441266667,-79.351525,1016.9,6.481584956,7.24488356315,14.8,19.7094240512,5.0,69.0,331.2,2.8,9.1
2018-10-24 15:31:15.500000,74.3,20.8223540655,1.90430137765,1.9149077568,1.99003238925,2.59697726226,444.111080454,446.584722072,441.468282769,2.61143731578,148.1,140.640194091,5539.14931076,0.9,155.6,43.644095,-79.3515016667,1016.9,6.48291984244,7.25660329011,15.0,19.7083859666,5.0,126.8,0.3,1.5,11.4
2018-10-24 15:31:16.500000,73.9,20.8259348922,1.90121616332,1.91157371973,1.98651896009,3.16816122161,443.893556748,446.311780966,441.193570711,3.18540973881,147.7,140.67595706,5418.25137716,0.9,157.6,43.6440616667,-79.351475,1016.9,6.48231535171,7.25525672206,15.0,19.7067921635,5.0,149.5,357.1,1.5,9.9
2018-10-24 15:31:17.500000,73.9,20.826038814,1.90081897307,1.91127070894,1.98619964541,2.08136652585,441.203988685,443.629911867,438.494300568,2.09279471659,144.5,140.656871426,5468.4807674,0.9,158.8,43.64403,-79.351445,1017.0,6.48219164691,7.2714976486,14.2,19.7062622102,4.9,84.7,333.9,0.9,9.3
2018-10-24 15:31:18.500000,74.1,20.8274713934,1.90021587195,1.91051987589,1.98540841285,2.31394188696,444.600554757,447.011340891,441.897669662,2.32648283527,148.8,140.638271738,5393.36115293,1.0,168.2,43.6440016667,-79.3514183333,1017.0,6.49130136532,7.2399120731,14.2,19.7051400245,4.9,69.3,340.6,2.8,8.9
2018-10-24 15:31:19.500000,74.2,20.8246534007,1.90210936768,1.91247116559,1.98746469416,3.61824642198,444.829965311,447.253134246,442.14103187,3.63796430009,149.4,140.641328189,5417.83500042,0.9,168.5,43.6439716667,-79.3513933333,1016.9,6.48747506115,7.24741067445,14.8,19.7034217004,4.9,71.0,331.1,3.1,10.3
2018-10-24 15:31:20.500000,74.4,20.8201962517,1.90073001215,1.91131745173,1.98624890326,2.81919787984,443.7710001,446.242941765,441.124284853,2.83488284998,150.6,140.673744035,5539.43928307,0.9,160.2,43.6439383333,-79.3513683333,1016.9,6.49011553843,7.25504976776,15.1,19.7025339622,4.9,69.3,331.1,2.9,8.5
2018-10-24 15:31:21.500000,74.6,20.8123338113,1.90160713285,1.91207572456,1.98704797593,3.57330624806,443.432551915,445.873828397,440.75277653,3.59296589705,148.5,140.659788241,5475.19326966,0.9,154.7,43.6439033333,-79.3513416667,1016.9,6.48724645531,7.26304006162,15.0,19.7013672834,4.9,124.5,355.9,0.7,9.7
2018-10-24 15:31:22.500000,74.7,20.8057132427,1.90433248719,1.91493737735,1.99006360357,3.43589716927,441.002575173,443.45847714,438.321753503,3.45502829453,147.4,140.65318718,5538.1776969,0.9,151.8,43.64387,-79.351315,1016.9,6.48337731643,7.28233819653,15.0,19.7000873967,4.9,95.2,355.2,0.8,8.7
2018-10-24 15:31:23.500000,75.3,20.8059550674,1.90410858613,1.91458607614,1.98969340015,2.93446458363,442.285495438,444.719193765,439.590650164,2.95061677345,147.0,140.639486623,5472.45428267,0.9,154.3,43.6438366667,-79.351285,1016.9,6.48724028773,7.26136831092,14.8,19.6987136692,4.9,155.4,3.7,2.1,10.6
2018-10-24 15:31:24.500000,76.2,20.8011137175,1.90488360052,1.91561602367,1.99077876532,2.95888261506,441.428083933,443.915157322,438.78139681,2.97555476655,146.9,140.671019648,5602.58202061,0.9,152.8,43.6438016667,-79.3512583333,1016.9,6.48517031824,7.25972931161,14.8,19.6978556083,4.9,147.0,1.0,2.1,10.7
